ShippingPostalCode,ActiveAccounts,TerminatedAccounts,LostRevenue,TotalHistorical,5YR Churn Rate,AvgLostRevenuePerAccount,ProposedBranch,ConsolidatedArea,Source
85014,9,28,46696.18,37,75.68,1667.72,Branch 4 - Central PHX/South,Central,Phoenix
85015,9,29,47503.48,38,76.32,1638.05,Branch 4 - Central PHX/South,Central,Phoenix
85016,9,80,137409.83,89,89.89,1717.62,Branch 2 - Central Scottsdale/PV,Central,Phoenix
85202,9,30,49100.87,39,76.92,1636.7,Branch 8 - Tempe/Chandler West,East,Phoenix
85205,9,30,46366.71,39,76.92,1545.56,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85298,9,45,73950.2,54,83.33,1643.34,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85302,9,67,104264.45,76,88.16,1556.19,Branch 6 - Glendale/West PHX,West,Phoenix
85381,9,63,101828.98,72,87.5,1616.33,Branch 5 - Peoria/Surprise North,West,Phoenix
85027,8,40,64052.58,48,83.33,1601.31,Branch 3 - North Phoenix I-17,Central,Phoenix
85051,8,35,58405.86,43,81.4,1668.74,Branch 6 - Glendale/West PHX,West,Phoenix
85140,8,19,30533.48,27,70.37,1607.03,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85250,8,34,56594.32,42,80.95,1664.54,Branch 2 - Central Scottsdale/PV,Central,Phoenix
85268,8,40,67485.68,48,83.33,1687.14,Branch 1 - North Scottsdale,Central,Phoenix
85355,8,20,34910.56,28,71.43,1745.53,Branch 7 - Southwest Valley/Laveen,West,Phoenix
85210,7,38,62431.34,45,84.44,1642.93,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85215,7,29,48440.17,36,80.56,1670.35,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85251,7,38,64703.28,45,84.44,1702.72,Branch 2 - Central Scottsdale/PV,Central,Phoenix
85281,7,16,27203.08,23,69.57,1700.19,Branch 8 - Tempe/Chandler West,East,Phoenix
85303,7,27,43745.36,34,79.41,1620.2,Branch 6 - Glendale/West PHX,West,Phoenix
85306,7,29,48353.29,36,80.56,1667.35,Branch 6 - Glendale/West PHX,West,Phoenix
85003,6,22,38509.4799999999,28,78.57,1750.43,Branch 4 - Central PHX/South,Central,Phoenix
85012,6,23,37448.6,29,79.31,1628.2,Branch 4 - Central PHX/South,Central,Phoenix
85035,6,14,23886.08,20,70.0,1706.15,Branch 4 - Central PHX/South,Central,Phoenix
85037,6,38,60322.92,44,86.36,1587.45,Branch 6 - Glendale/West PHX,West,Phoenix
85083,6,59,95306.88,65,90.77,1615.37,Branch 3 - North Phoenix I-17,Central,Phoenix
85013,5,33,56563.0,38,86.84,1714.03,Branch 4 - Central PHX/South,Central,Phoenix
85045,5,31,52698.84,36,86.11,1699.96,Branch 8 - Tempe/Chandler West,East,Phoenix
85204,5,19,31049.18,24,79.17,1634.17,Branch 10 - Mesa Central/Gilbert East,East,Phoenix
85206,5,8,13083.8,13,61.54,1635.48,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85301,5,26,43705.16,31,83.87,1680.97,Branch 6 - Glendale/West PHX,West,Phoenix
85305,5,24,39571.84,29,82.76,1648.83,Branch 6 - Glendale/West PHX,West,Phoenix
85326,5,42,73770.52,47,89.36,1756.44,Branch 7 - Southwest Valley/Laveen,West,Phoenix
85353,5,57,96463.07,62,91.94,1692.33,Branch 5 - Peoria/Surprise North,West,Phoenix
85373,5,18,31573.44,23,78.26,1754.08,Branch 5 - Peoria/Surprise North,West,Phoenix
85374,5,49,75544.0699999999,54,90.74,1541.72,Branch 5 - Peoria/Surprise North,West,Phoenix
85006,4,15,25097.0,19,78.95,1673.13,Branch 4 - Central PHX/South,Central,Phoenix
85008,4,22,41030.32,26,84.62,1865.01,Branch 4 - Central PHX/South,Central,Phoenix
85019,4,11,18386.0,15,73.33,1671.45,Branch 4 - Central PHX/South,Central,Phoenix
85043,4,35,59681.15,39,89.74,1705.18,Branch 4 - Central PHX/South,Central,Phoenix
85201,4,22,38724.4,26,84.62,1760.2,Branch 8 - Tempe/Chandler West,East,Phoenix
85007,3,49,85375.28,52,94.23,1742.35,Branch 4 - Central PHX/South,Central,Phoenix
85087,3,10,16564.46,13,76.92,1656.45,Branch 3 - North Phoenix I-17,Central,Phoenix
85120,3,2,3296.0,5,40.0,1648.0,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85335,3,18,29763.82,21,85.71,1653.55,,,Phoenix
85040,2,13,21195.75,15,86.67,1630.44,Branch 4 - Central PHX/South,Central,Phoenix
85054,2,9,15840.0399999999,11,81.82,1760.0,Branch 3 - North Phoenix I-17,Central,Phoenix
85118,2,18,32733.0,20,90.0,1818.5,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85119,2,16,28819.42,18,88.89,1801.21,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85378,2,8,12067.38,10,80.0,1508.42,Branch 5 - Peoria/Surprise North,West,Phoenix
