Area,TotalAccounts,AccountsWithRevenue,ActualRevenue,AvgRevenue,EstimatedTotalRevenue
West,529,529,1031328.48,1949.581247637051,1031328.48
Central,529,529,1025981.3600000001,1939.4732703213613,1025981.3600000001
East,570,415,806505.4299999999,1943.3865783132528,1107730.349638554
Tucson,73,73,142314.14,1949.508767123288,142314.14
