Consolidated_Area,Original_Branch,Source,ZIP_Code,Active_Accounts,Terminated_Accounts,Churn_Rate
East,Branch 9 - Chandler/Gilbert South,Phoenix,85249,33,112,77.24
East,Branch 8 - Tempe/Chandler West,Phoenix,85048,27,88,76.52
East,Branch 8 - Tempe/Chandler West,Phoenix,85286,26,68,72.34
East,Branch 8 - Tempe/Chandler West,Phoenix,85283,23,77,77.0
East,Branch 9 - Chandler/Gilbert South,Phoenix,85295,23,40,63.49
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85296,23,73,76.04
East,Branch 9 - Chandler/Gilbert South,Phoenix,85234,22,62,73.81
East,Branch 9 - Chandler/Gilbert South,Phoenix,85248,22,65,74.71
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85213,21,50,70.42
East,Branch 9 - Chandler/Gilbert South,Phoenix,85226,21,82,79.61
East,Branch 8 - Tempe/Chandler West,Phoenix,85282,20,85,80.95
East,Branch 8 - Tempe/Chandler West,Phoenix,85284,19,92,82.88
East,Branch 11 - Mesa East/Pinal Outliers,Phoenix,85142,17,66,79.52
East,Branch 8 - Tempe/Chandler West,Phoenix,85224,17,67,79.76
East,Branch 9 - Chandler/Gilbert South,Phoenix,85233,16,53,76.81
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85212,15,50,76.92
East,Branch 8 - Tempe/Chandler West,Phoenix,85044,13,66,83.54
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85203,12,39,76.47
East,Branch 9 - Chandler/Gilbert South,Phoenix,85225,12,69,85.19
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85297,12,47,79.66
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85209,11,42,79.25
East,Branch 8 - Tempe/Chandler West,Phoenix,85202,9,30,76.92
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85205,9,30,76.92
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85298,9,45,83.33
East,Branch 11 - Mesa East/Pinal Outliers,Phoenix,85140,8,19,70.37
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85210,7,38,84.44
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85215,7,29,80.56
East,Branch 8 - Tempe/Chandler West,Phoenix,85281,7,16,69.57
East,Branch 8 - Tempe/Chandler West,Phoenix,85045,5,31,86.11
East,Branch 10 - Mesa Central/Gilbert East,Phoenix,85204,5,19,79.17
East,Branch 11 - Mesa East/Pinal Outliers,Phoenix,85206,5,8,61.54
East,Branch 8 - Tempe/Chandler West,Phoenix,85201,4,22,84.62
East,Branch 11 - Mesa East/Pinal Outliers,Phoenix,85120,3,2,40.0
East,Branch 11 - Mesa East/Pinal Outliers,Phoenix,85118,2,18,90.0
