ShippingPostalCode,ActiveAccounts,TerminatedAccounts,LostRevenue,TotalHistorical,ChurnRate,AvgLostRevenuePerAccount,ProposedBranch
85256,1.0,1,1833.4,2.0,50.0,1833.4,
85257,14.0,63,105935.64,77.0,81.82,1681.52,
85258,18.0,66,108859.56,84.0,78.57,1649.39,Branch 2 - Central Scottsdale/PV
85259,22.0,104,183437.94,126.0,82.54,1763.83,Branch 1 - North Scottsdale
85260,22.0,92,150136.32,114.0,80.7,1631.92,Branch 1 - North Scottsdale
85262,13.0,61,102519.8,74.0,82.43,1680.65,Branch 1 - North Scottsdale
85263,0.0,2,3200.0,2.0,100.0,1600.0,Branch 1 - North Scottsdale
85266,14.0,39,67096.24,53.0,73.58,1720.42,Branch 1 - North Scottsdale
85268,8.0,40,67485.68,48.0,83.33,1687.14,
85281,7.0,16,27203.08,23.0,69.57,1700.19,Branch 8 - Tempe/Chandler West
85282,20.0,85,142313.8,105.0,80.95,1674.28,Branch 8 - Tempe/Chandler West
85283,23.0,77,132957.78,100.0,77.0,1726.72,Branch 8 - Tempe/Chandler West
85284,19.0,92,159130.66,111.0,82.88,1729.68,Branch 8 - Tempe/Chandler West
85286,26.0,68,113241.98,94.0,72.34,1665.32,Branch 8 - Tempe/Chandler West
85295,23.0,40,66213.36,63.0,63.49,1655.33,Branch 9 - Chandler/Gilbert South
85296,23.0,73,113639.18,96.0,76.04,1556.7,Branch 10 - Mesa Central/Gilbert East
85297,12.0,47,81332.64,59.0,79.66,1730.48,Branch 10 - Mesa Central/Gilbert East
85298,9.0,45,73950.2,54.0,83.33,1643.34,Branch 10 - Mesa Central/Gilbert East
85301,5.0,26,43705.16,31.0,83.87,1680.97,Branch 6 - Glendale/West PHX
85302,9.0,67,104264.45,76.0,88.16,1556.19,Branch 6 - Glendale/West PHX
85303,7.0,27,43745.36,34.0,79.41,1620.2,Branch 6 - Glendale/West PHX
85304,17.0,72,119626.31999999999,89.0,80.9,1661.48,Branch 6 - Glendale/West PHX
85305,5.0,24,39571.84,29.0,82.76,1648.83,Branch 6 - Glendale/West PHX
85306,7.0,29,48353.29,36.0,80.56,1667.35,Branch 6 - Glendale/West PHX
85307,0.0,13,22141.4,13.0,100.0,1703.18,
85308,41.0,216,348359.86,257.0,84.05,1612.78,Branch 6 - Glendale/West PHX
85310,13.0,51,82723.36,64.0,79.69,1622.03,Branch 6 - Glendale/West PHX
85323,10.0,40,59349.69,50.0,80.0,1483.74,Branch 7 - Southwest Valley/Laveen
85326,5.0,42,73770.52,47.0,89.36,1756.44,Branch 7 - Southwest Valley/Laveen
85331,21.0,116,195662.14,137.0,84.67,1686.74,Branch 1 - North Scottsdale
85335,3.0,18,29763.82,21.0,85.71,1653.55,
85338,15.0,77,126042.36,92.0,83.7,1636.91,Branch 7 - Southwest Valley/Laveen
85339,31.0,152,245599.88,183.0,83.06,1615.79,Branch 7 - Southwest Valley/Laveen
85340,15.0,59,95049.22,74.0,79.73,1611.0,Branch 7 - Southwest Valley/Laveen
85345,16.0,92,159608.84,108.0,85.19,1734.88,Branch 5 - Peoria/Surprise North
85351,1.0,13,21207.4,14.0,92.86,1631.34,Branch 5 - Peoria/Surprise North
85353,5.0,57,96463.07,62.0,91.94,1692.33,
85355,8.0,20,34910.56,28.0,71.43,1745.53,
85363,0.0,1,1980.0,1.0,100.0,1980.0,
85373,5.0,18,31573.44,23.0,78.26,1754.08,Branch 5 - Peoria/Surprise North
85374,5.0,49,75544.06999999999,54.0,90.74,1541.72,Branch 5 - Peoria/Surprise North
85375,1.0,16,26826.0,17.0,94.12,1676.62,Branch 5 - Peoria/Surprise North
85377,0.0,7,12246.4,7.0,100.0,1749.49,Branch 1 - North Scottsdale
85378,2.0,8,12067.380000000001,10.0,80.0,1508.42,
85379,12.0,92,145411.2,104.0,88.46,1580.56,Branch 5 - Peoria/Surprise North
85381,9.0,63,101828.98,72.0,87.5,1616.33,Branch 5 - Peoria/Surprise North
85382,14.0,68,109089.87,82.0,82.93,1604.26,Branch 5 - Peoria/Surprise North
85383,21.0,120,198156.12,141.0,85.11,1651.3,Branch 5 - Peoria/Surprise North
85387,2.0,13,24234.88,15.0,86.67,1864.22,
85388,13.0,60,93521.24,73.0,82.19,1558.69,
85392,10.0,90,141202.06,100.0,90.0,1568.91,Branch 7 - Southwest Valley/Laveen
85395,13.0,70,111061.62,83.0,84.34,1586.59,Branch 7 - Southwest Valley/Laveen
85396,13.0,40,67046.46,53.0,75.47,1676.16,Branch 7 - Southwest Valley/Laveen
98032,0.0,1,1720.0,1.0,100.0,1720.0,
nan,0.0,3,0.0,3.0,100.0,0.0,
