ShippingPostalCode,ActiveAccounts,TerminatedAccounts,LostRevenue,TotalHistorical,ChurnRate,AvgLostRevenuePerAccount,ProposedBranch,ActiveScore,ChurnScore,TerminatedScore,PriorityScore
85053,16.0,53,86033.05,69.0,76.81,1623.27,Branch 6 - Glendale/West PHX,28.57,76.81,24.54,41.83
85233,16.0,53,87162.52,69.0,76.81,1644.58,Branch 9 - Chandler/Gilbert South,28.57,76.81,24.54,41.83
85381,9.0,63,101828.98,72.0,87.5,1616.33,Branch 5 - Peoria/Surprise North,16.07,87.5,29.17,41.43
85295,23.0,40,66213.36,63.0,63.49,1655.33,Branch 9 - Chandler/Gilbert South,41.07,63.49,18.52,41.03
85212,15.0,50,76662.76,65.0,76.92,1533.26,,26.79,76.92,23.15,40.74
85310,13.0,51,82723.36,64.0,79.69,1622.03,Branch 6 - Glendale/West PHX,23.21,79.69,23.61,40.27
85083,6.0,59,95306.88,65.0,90.77,1615.37,Branch 3 - North Phoenix I-17,10.71,90.77,27.31,39.71
85353,5.0,57,96463.07,62.0,91.94,1692.33,,8.93,91.94,26.39,39.07
85297,12.0,47,81332.64,59.0,79.66,1730.48,Branch 10 - Mesa Central/Gilbert East,21.43,79.66,21.76,39.0
85024,10.0,48,79338.2,58.0,82.76,1652.88,,17.86,82.76,22.22,38.64
85298,9.0,45,73950.2,54.0,83.33,1643.34,Branch 10 - Mesa Central/Gilbert East,16.07,83.33,20.83,37.68
85374,5.0,49,75544.06999999999,54.0,90.74,1541.72,Branch 5 - Peoria/Surprise North,8.93,90.74,22.69,37.6
85266,14.0,39,67096.24,53.0,73.58,1720.42,Branch 1 - North Scottsdale,25.0,73.58,18.06,37.49
85396,13.0,40,67046.46,53.0,75.47,1676.16,Branch 7 - Southwest Valley/Laveen,23.21,75.47,18.52,37.48
85209,11.0,42,62681.06,53.0,79.25,1492.41,Branch 10 - Mesa Central/Gilbert East,19.64,79.25,19.44,37.46
85007,3.0,49,85375.28,52.0,94.23,1742.35,Branch 4 - Central PHX/South,5.36,94.23,22.69,37.22
85203,12.0,39,63863.8,51.0,76.47,1637.53,Branch 10 - Mesa Central/Gilbert East,21.43,76.47,18.06,36.93
85323,10.0,40,59349.69,50.0,80.0,1483.74,Branch 7 - Southwest Valley/Laveen,17.86,80.0,18.52,36.7
85027,8.0,40,64052.58,48.0,83.33,1601.31,Branch 3 - North Phoenix I-17,14.29,83.33,18.52,36.27
85268,8.0,40,67485.68,48.0,83.33,1687.14,,14.29,83.33,18.52,36.27
85326,5.0,42,73770.52,47.0,89.36,1756.44,Branch 7 - Southwest Valley/Laveen,8.93,89.36,19.44,36.21
85210,7.0,38,62431.34,45.0,84.44,1642.93,Branch 10 - Mesa Central/Gilbert East,12.5,84.44,17.59,35.61
85251,7.0,38,64703.28,45.0,84.44,1702.72,Branch 2 - Central Scottsdale/PV,12.5,84.44,17.59,35.61
85037,6.0,38,60322.92,44.0,86.36,1587.45,,10.71,86.36,17.59,35.47
85051,8.0,35,58405.86,43.0,81.4,1668.74,Branch 6 - Glendale/West PHX,14.29,81.4,16.2,35.0
85250,8.0,34,56594.32,42.0,80.95,1664.54,Branch 2 - Central Scottsdale/PV,14.29,80.95,15.74,34.72
85043,4.0,35,59681.15,39.0,89.74,1705.18,Branch 4 - Central PHX/South,7.14,89.74,16.2,34.64
85013,5.0,33,56563.0,38.0,86.84,1714.03,Branch 4 - Central PHX/South,8.93,86.84,15.28,34.21
85208,1.0,29,48152.4,30.0,96.67,1660.43,Branch 11 - Mesa East/Pinal Outliers,1.79,96.67,13.43,33.75
85045,5.0,31,52698.84,36.0,86.11,1699.96,,8.93,86.11,14.35,33.71
85202,9.0,30,49100.87,39.0,76.92,1636.7,Branch 8 - Tempe/Chandler West,16.07,76.92,13.89,33.67
85205,9.0,30,46366.71,39.0,76.92,1545.56,Branch 10 - Mesa Central/Gilbert East,16.07,76.92,13.89,33.67
85015,9.0,29,47503.48,38.0,76.32,1638.05,Branch 4 - Central PHX/South,16.07,76.32,13.43,33.35
85306,7.0,29,48353.29,36.0,80.56,1667.35,Branch 6 - Glendale/West PHX,12.5,80.56,13.43,33.2
85215,7.0,29,48440.17,36.0,80.56,1670.35,Branch 10 - Mesa Central/Gilbert East,12.5,80.56,13.43,33.2
85014,9.0,28,46696.18,37.0,75.68,1667.72,Branch 4 - Central PHX/South,16.07,75.68,12.96,33.02
85303,7.0,27,43745.36,34.0,79.41,1620.2,Branch 6 - Glendale/West PHX,12.5,79.41,12.5,32.57
85301,5.0,26,43705.16,31.0,83.87,1680.97,Branch 6 - Glendale/West PHX,8.93,83.87,12.04,32.34
85307,0.0,13,22141.4,13.0,100.0,1703.18,,0.0,100.0,6.02,31.81
85305,5.0,24,39571.84,29.0,82.76,1648.83,Branch 6 - Glendale/West PHX,8.93,82.76,11.11,31.73
85033,1.0,18,29862.16,19.0,94.74,1659.01,Branch 4 - Central PHX/South,1.79,94.74,8.33,31.64
85201,4.0,22,38724.4,26.0,84.62,1760.2,Branch 8 - Tempe/Chandler West,7.14,84.62,10.19,31.3
85008,4.0,22,41030.32,26.0,84.62,1865.01,Branch 4 - Central PHX/South,7.14,84.62,10.19,31.3
85012,6.0,23,37448.6,29.0,79.31,1628.2,Branch 4 - Central PHX/South,10.71,79.31,10.65,31.27
85375,1.0,16,26826.0,17.0,94.12,1676.62,Branch 5 - Peoria/Surprise North,1.79,94.12,7.41,31.18
85377,0.0,7,12246.4,7.0,100.0,1749.49,Branch 1 - North Scottsdale,0.0,100.0,3.24,30.97
85118,2.0,18,32733.0,20.0,90.0,1818.5,Branch 11 - Mesa East/Pinal Outliers,3.57,90.0,8.33,30.93
85003,6.0,22,38509.479999999996,28.0,78.57,1750.43,Branch 4 - Central PHX/South,10.71,78.57,10.19,30.91
nan,0.0,3,0.0,3.0,100.0,0.0,,0.0,100.0,1.39,30.42
85351,1.0,13,21207.4,14.0,92.86,1631.34,Branch 5 - Peoria/Surprise North,1.79,92.86,6.02,30.38
85335,3.0,18,29763.82,21.0,85.71,1653.55,,5.36,85.71,8.33,30.36
85119,2.0,16,28819.420000000002,18.0,88.89,1801.21,Branch 11 - Mesa East/Pinal Outliers,3.57,88.89,7.41,30.32
85204,5.0,19,31049.18,24.0,79.17,1634.17,Branch 10 - Mesa Central/Gilbert East,8.93,79.17,8.8,29.96
85355,8.0,20,34910.56,28.0,71.43,1745.53,,14.29,71.43,9.26,29.92
85373,5.0,18,31573.44,23.0,78.26,1754.08,Branch 5 - Peoria/Surprise North,8.93,78.26,8.33,29.55
85140,8.0,19,30533.48,27.0,70.37,1607.03,Branch 11 - Mesa East/Pinal Outliers,14.29,70.37,8.8,29.47
85009,1.0,10,16682.0,11.0,90.91,1668.2,Branch 4 - Central PHX/South,1.79,90.91,4.63,29.38
85387,2.0,13,24234.88,15.0,86.67,1864.22,,3.57,86.67,6.02,29.24
85040,2.0,13,21195.75,15.0,86.67,1630.44,Branch 4 - Central PHX/South,3.57,86.67,6.02,29.24
85006,4.0,15,25097.0,19.0,78.95,1673.13,Branch 4 - Central PHX/South,7.14,78.95,6.94,28.62
85281,7.0,16,27203.08,23.0,69.57,1700.19,Branch 8 - Tempe/Chandler West,12.5,69.57,7.41,28.09
85035,6.0,14,23886.08,20.0,70.0,1706.15,Branch 4 - Central PHX/South,10.71,70.0,6.48,27.23
85054,2.0,9,15840.039999999999,11.0,81.82,1760.0,Branch 3 - North Phoenix I-17,3.57,81.82,4.17,27.22
85087,3.0,10,16564.46,13.0,76.92,1656.45,Branch 3 - North Phoenix I-17,5.36,76.92,4.63,26.61
85378,2.0,8,12067.380000000001,10.0,80.0,1508.42,,3.57,80.0,3.7,26.54
85031,1.0,5,8492.0,6.0,83.33,1698.4,Branch 4 - Central PHX/South,1.79,83.33,2.31,26.41
85019,4.0,11,18386.0,15.0,73.33,1671.45,Branch 4 - Central PHX/South,7.14,73.33,5.09,26.38
85017,1.0,3,5580.48,4.0,75.0,1860.16,Branch 4 - Central PHX/South,1.79,75.0,1.39,23.63
85206,5.0,8,13083.8,13.0,61.54,1635.48,Branch 11 - Mesa East/Pinal Outliers,8.93,61.54,3.7,23.14
85120,3.0,2,3296.0,5.0,40.0,1648.0,Branch 11 - Mesa East/Pinal Outliers,5.36,40.0,0.93,14.42
