Branch,Active_Accounts,Terminated_Accounts,Total_Accounts,Retention_Rate,Active_Revenue
Branch 1 - Tucson East & North (Foothills),27,81,108,25.0,52278.04
Branch 2 - Tucson West & Central (Urban & Growth),23,101,124,18.548387096774192,44496.479999999996
